Potential applied (V);Time (s);WE(1).Current (A);WE(1).Potential (V);Scan;Index;Q+;Q-;Current range
-1.66824340820313;374.248834055113;-4.14581298828125E-06;-1.66778564453125;1;1851;0.000133864662284031;-0.000614197832113131;10 µA
-1.67022705078125;374.447198054612;-4.15283203125E-06;-1.66961669921875;1;1852;0.000133864662284031;-0.000614197832113131;10 µA
-1.67221069335938;374.645562054111;-4.15924072265625E-06;-1.67144775390625;1;1853;0.000133864662284031;-0.000614197832113131;10 µA
-1.6741943359375;374.84392605361;-4.166259765625E-06;-1.67388916015625;1;1854;0.000133864662284031;-0.000614197832113131;10 µA
-1.67617797851563;375.042290053109;-4.1741943359375E-06;-1.6754150390625;1;1855;0.000133864662284031;-0.000614197832113131;10 µA
-1.67816162109375;375.240654052608;-4.18060302734375E-06;-1.6778564453125;1;1856;0.000133864662284031;-0.000614197832113131;10 µA
-1.68014526367188;375.439018052108;-4.1876220703125E-06;-1.6796875;1;1857;0.000133864662284031;-0.000614197832113131;10 µA
-1.68212890625;375.637382051607;-4.19586181640625E-06;-1.68212890625;1;1858;0.000133864662284031;-0.000614197832113131;10 µA
-1.68411254882813;375.835746051106;-4.20379638671875E-06;-1.683349609375;1;1859;0.000133864662284031;-0.000614197832113131;10 µA
-1.68609619140625;376.034110050605;-4.21051025390625E-06;-1.6851806640625;1;1860;0.000133864662284031;-0.000614197832113131;10 µA
-1.68807983398438;376.232474050104;-4.21844482421875E-06;-1.68731689453125;1;1861;0.000133864662284031;-0.000614197832113131;10 µA
-1.6900634765625;376.430838049603;-4.224853515625E-06;-1.68975830078125;1;1862;0.000133864662284031;-0.000614197832113131;10 µA
-1.69204711914063;376.629202049103;-4.23248291015625E-06;-1.69158935546875;1;1863;0.000133864662284031;-0.000614197832113131;10 µA
-1.69403076171875;376.827566048602;-4.2388916015625E-06;-1.6937255859375;1;1864;0.000133864662284031;-0.000614197832113131;10 µA
-1.69601440429688;377.025930048101;-4.24591064453125E-06;-1.69586181640625;1;1865;0.000133864662284031;-0.000614197832113131;10 µA
-1.697998046875;377.2242940476;-4.25262451171875E-06;-1.6973876953125;1;1866;0.000133864662284031;-0.000614197832113131;10 µA
-1.69998168945313;377.422658047099;-4.25933837890625E-06;-1.69952392578125;1;1867;0.000133864662284031;-0.000614197832113131;10 µA
-1.70196533203125;377.621022046599;-4.267578125E-06;-1.70135498046875;1;1868;0.000133864662284031;-0.000614197832113131;10 µA
-1.70394897460938;377.819386046098;-4.27490234375E-06;-1.70379638671875;1;1869;0.000133864662284031;-0.000614197832113131;10 µA
